Date,Daily Close,Daily Returns,% Change ,Volatility ,Annualised Volatility,,
01-01-2025,1.03747,-0.00025061,-0.025060966,0.004716099,0.074865758,,
02-01-2025,1.03721,-0.006006498,-0.60064982,0.004715869,0.0748621,,
03-01-2025,1.03098,0.00078566,0.078566025,0.004704193,0.074676742,,
05-01-2025,1.03179,0.011397668,1.139766813,0.004705364,0.074695338,,
06-01-2025,1.04355,-0.000162905,-0.016290547,0.004654008,0.073880084,,
07-01-2025,1.04338,-0.007341525,-0.734152466,0.004655078,0.073897076,,EUR USD 2025
08-01-2025,1.03572,-0.003948944,-0.394894373,0.004628654,0.073477611,,
09-01-2025,1.03163,-0.00045559,-0.04555897,0.004620713,0.073351539,,
10-01-2025,1.03116,-0.006090228,-0.609022848,0.004620386,0.073346358,,
12-01-2025,1.02488,0.002732027,0.273202716,0.004601587,0.073047937,,
13-01-2025,1.02768,0.003045695,0.304569516,0.004603912,0.073084843,,
14-01-2025,1.03081,0.003996857,0.399685684,0.0046137,0.073240219,,
15-01-2025,1.03493,-0.003410859,-0.341085871,0.004614827,0.073258102,,
16-01-2025,1.0314,0.001405856,0.140585612,0.004608301,0.073154518,,
17-01-2025,1.03285,-0.002091301,-0.209130077,0.004608514,0.073157894,,
19-01-2025,1.03069,0.01231214,1.231214041,0.004608472,0.073157229,,
20-01-2025,1.04338,0.000124595,0.012459507,0.004551334,0.072250191,,
21-01-2025,1.04351,0.001964524,0.196452358,0.004554839,0.07230582,,
22-01-2025,1.04556,-0.000219978,-0.021997781,0.004557246,0.072344045,,
23-01-2025,1.04533,0.006476424,0.647642371,0.004557817,0.072353102,,
24-01-2025,1.0521,-0.003478757,-0.347875677,0.004542529,0.072110414,,
26-01-2025,1.04844,0.004311167,0.431116707,0.004536269,0.072011043,,
27-01-2025,1.05296,-0.008138961,-0.813896064,0.004538694,0.07204953,,
28-01-2025,1.04439,-6.70248E-05,-0.006702477,0.004506116,0.071532378,,
29-01-2025,1.04432,0.001895971,0.189597058,0.004509649,0.071588456,,
30-01-2025,1.0463,-0.002953264,-0.295326388,0.004509445,0.071585213,,
